NUTS3;NUTS2;NUTS1
DE931;DE93;DE9
DE932;DE93;DE9
DE933;DE93;DE9
DE934;DE93;DE9
DE935;DE93;DE9
DE936;DE93;DE9
DE937;DE93;DE9
DE938;DE93;DE9
DE939;DE93;DE9
DE93A;DE93;DE9
DE93B;DE93;DE9
DE941;DE94;DE9
DE942;DE94;DE9
DE943;DE94;DE9
DE944;DE94;DE9
DE945;DE94;DE9
DE946;DE94;DE9
DE947;DE94;DE9
DE948;DE94;DE9
DE949;DE94;DE9
DE94A;DE94;DE9
DE94B;DE94;DE9
DE94C;DE94;DE9
DE94D;DE94;DE9
DE94E;DE94;DE9
DE94F;DE94;DE9
DE94G;DE94;DE9
DE94H;DE94;DE9
DEA11;DEA1;DEA
DEA12;DEA1;DEA
DEA13;DEA1;DEA
DEA14;DEA1;DEA
DEA15;DEA1;DEA
DEA16;DEA1;DEA
DEA17;DEA1;DEA
DEA18;DEA1;DEA
DEA19;DEA1;DEA
DEA1A;DEA1;DEA
DEA1B;DEA1;DEA
DEA1C;DEA1;DEA
DEA1D;DEA1;DEA
DEA1E;DEA1;DEA
DEA1F;DEA1;DEA
DEA22;DEA2;DEA
DEA23;DEA2;DEA
DEA24;DEA2;DEA
DEA26;DEA2;DEA
DEA27;DEA2;DEA
DEA28;DEA2;DEA
DEA29;DEA2;DEA
DEA2A;DEA2;DEA
DEA2B;DEA2;DEA
DEA2C;DEA2;DEA
DEA2D;DEA2;DEA
DEA31;DEA3;DEA
DEA32;DEA3;DEA
DEA33;DEA3;DEA
DEA34;DEA3;DEA
DEA35;DEA3;DEA
DEA36;DEA3;DEA
DEA37;DEA3;DEA
DEA38;DEA3;DEA
DEA41;DEA4;DEA
DEA42;DEA4;DEA
DEA43;DEA4;DEA
DEA44;DEA4;DEA
DEA45;DEA4;DEA
DEA46;DEA4;DEA
DEA47;DEA4;DEA
DEA51;DEA5;DEA
DEA52;DEA5;DEA
DEA53;DEA5;DEA
DEA54;DEA5;DEA
DEA55;DEA5;DEA
DEA56;DEA5;DEA
DEA57;DEA5;DEA
DEA58;DEA5;DEA
DEA59;DEA5;DEA
DEA5A;DEA5;DEA
DEA5B;DEA5;DEA
DEA5C;DEA5;DEA
DEB11;DEB1;DEB
DEB12;DEB1;DEB
DEB13;DEB1;DEB
DEB14;DEB1;DEB
DEB15;DEB1;DEB
DEB17;DEB1;DEB
DEB18;DEB1;DEB
DEB1A;DEB1;DEB
DEB1B;DEB1;DEB
DEB1C;DEB1;DEB
DEB1D;DEB1;DEB
DEB21;DEB2;DEB
DEB22;DEB2;DEB
DEB23;DEB2;DEB
DEB24;DEB2;DEB
DEB25;DEB2;DEB
DEB31;DEB3;DEB
DEB32;DEB3;DEB
DEB33;DEB3;DEB
DEB34;DEB3;DEB
DEB35;DEB3;DEB
DEB36;DEB3;DEB
DEB37;DEB3;DEB
DEB38;DEB3;DEB
DEB39;DEB3;DEB
DEB3A;DEB3;DEB
DEB3B;DEB3;DEB
DEB3C;DEB3;DEB
DEB3D;DEB3;DEB
DEB3E;DEB3;DEB
DEB3F;DEB3;DEB
DEB3G;DEB3;DEB
DEB3H;DEB3;DEB
DEB3I;DEB3;DEB
DEB3J;DEB3;DEB
DEB3K;DEB3;DEB
DEC01;DEC0;DEC
DEC02;DEC0;DEC
DEC03;DEC0;DEC
DEC04;DEC0;DEC
DEC05;DEC0;DEC
DEC06;DEC0;DEC
DED21;DED2;DED
DED2C;DED2;DED
DED2D;DED2;DED
DED2E;DED2;DED
DED2F;DED2;DED
DED41;DED4;DED
DED42;DED4;DED
DED43;DED4;DED
DED44;DED4;DED
DED45;DED4;DED
DED51;DED5;DED
DED52;DED5;DED
DED53;DED5;DED
DEE01;DEE0;DEE
DEE02;DEE0;DEE
DEE03;DEE0;DEE
DEE04;DEE0;DEE
DEE05;DEE0;DEE
DEE06;DEE0;DEE
DEE07;DEE0;DEE
DEE08;DEE0;DEE
DEE09;DEE0;DEE
DEE0A;DEE0;DEE
DEE0B;DEE0;DEE
DEE0C;DEE0;DEE
DEE0D;DEE0;DEE
DEE0E;DEE0;DEE
DEF01;DEF0;DEF
DEF02;DEF0;DEF
DEF03;DEF0;DEF
DEF04;DEF0;DEF
DEF05;DEF0;DEF
DEF06;DEF0;DEF
DEF07;DEF0;DEF
DEF08;DEF0;DEF
DEF09;DEF0;DEF
DEF0A;DEF0;DEF
DEF0B;DEF0;DEF
DEF0C;DEF0;DEF
DEF0D;DEF0;DEF
DEF0E;DEF0;DEF
DEF0F;DEF0;DEF
DEG01;DEG0;DEG
DEG02;DEG0;DEG
DEG03;DEG0;DEG
DEG04;DEG0;DEG
DEG05;DEG0;DEG
DEG06;DEG0;DEG
DEG07;DEG0;DEG
DEG09;DEG0;DEG
DEG0A;DEG0;DEG
DEG0B;DEG0;DEG
DEG0C;DEG0;DEG
DEG0D;DEG0;DEG
DEG0E;DEG0;DEG
DEG0F;DEG0;DEG
DEG0G;DEG0;DEG
DEG0H;DEG0;DEG
DEG0I;DEG0;DEG
DEG0J;DEG0;DEG
DEG0K;DEG0;DEG
DEG0L;DEG0;DEG
DEG0M;DEG0;DEG
DEG0N;DEG0;DEG
DEG0P;DEG0;DEG
